Titulo,Type,SJR (Cuartil),H_Index,Link
Seminars in Pediatric Neurology,journal,Q2,68,https://www.scimagojr.com/journalsearch.php?q=19386&tip=sid&clean=0
Stem Cells and Cloning: Advances and Applications,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=19700182025&tip=sid&clean=0
Synthetic Metals,journal,Q1,153,https://www.scimagojr.com/journalsearch.php?q=18375&tip=sid&clean=0
Agronomy,journal,Q1,91,https://www.scimagojr.com/journalsearch.php?q=21100447811&tip=sid&clean=0
Annals of Plastic Surgery,journal,Q2,107,https://www.scimagojr.com/journalsearch.php?q=20483&tip=sid&clean=0
BMC Pediatrics,journal,Q2,100,https://www.scimagojr.com/journalsearch.php?q=14521&tip=sid&clean=0
Experimental Aging Research,journal,Q1,57,https://www.scimagojr.com/journalsearch.php?q=14143&tip=sid&clean=0
Journal of Applied Clinical Medical Physics,journal,Q2,59,https://www.scimagojr.com/journalsearch.php?q=27214&tip=sid&clean=0
Journal of Applied Oral Science,journal,Q1,59,https://www.scimagojr.com/journalsearch.php?q=4000152106&tip=sid&clean=0
Journal of Psychoeducational Assessment,journal,Q2,59,https://www.scimagojr.com/journalsearch.php?q=12833&tip=sid&clean=0
Journal of Transcultural Nursing,journal,Q1,59,https://www.scimagojr.com/journalsearch.php?q=28254&tip=sid&clean=0
"Language, Culture and Society",journal,Q1,8,https://www.scimagojr.com/journalsearch.php?q=21101109913&tip=sid&clean=0
Nursing and Health Sciences,journal,Q1,57,https://www.scimagojr.com/journalsearch.php?q=28826&tip=sid&clean=0
PM and R,journal,Q1,84,https://www.scimagojr.com/journalsearch.php?q=15800154701&tip=sid&clean=0
Police Practice and Research,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=5700168360&tip=sid&clean=0
"Profiles of Drug Substances, Excipients and Related Methodology",journal,Q2,29,https://www.scimagojr.com/journalsearch.php?q=5000158117&tip=sid&clean=0
Reproduction and Fertility,journal,Q2,10,https://www.scimagojr.com/journalsearch.php?q=21101094555&tip=sid&clean=0
Acta Astronomica,journal,Q2,66,https://www.scimagojr.com/journalsearch.php?q=26624&tip=sid&clean=0
APMIS,journal,Q2,99,https://www.scimagojr.com/journalsearch.php?q=12400&tip=sid&clean=0
Austrian Journal of Earth Sciences,journal,Q1,28,https://www.scimagojr.com/journalsearch.php?q=11300153310&tip=sid&clean=0
Case Studies on Transport Policy,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=21100283790&tip=sid&clean=0
Environment and Development Economics,journal,Q1,72,https://www.scimagojr.com/journalsearch.php?q=20873&tip=sid&clean=0
Experimental Neurobiology,journal,Q2,31,https://www.scimagojr.com/journalsearch.php?q=21100786205&tip=sid&clean=0
Expert Opinion on Pharmacotherapy,journal,Q2,93,https://www.scimagojr.com/journalsearch.php?q=21352&tip=sid&clean=0
Frontiers in Water,journal,Q2,21,https://www.scimagojr.com/journalsearch.php?q=21101066387&tip=sid&clean=0
Geological Society Special Publication,book series,Q1,158,https://www.scimagojr.com/journalsearch.php?q=26547&tip=sid&clean=0
Health Care Manager,journal,Q1,33,https://www.scimagojr.com/journalsearch.php?q=13384&tip=sid&clean=0
Integrative Cancer Therapies,journal,Q1,71,https://www.scimagojr.com/journalsearch.php?q=29872&tip=sid&clean=0
International Journal of Applied Positive Psychology,journal,Q1,13,https://www.scimagojr.com/journalsearch.php?q=21101142419&tip=sid&clean=0
International Journal of Structural Stability and Dynamics,journal,Q1,50,https://www.scimagojr.com/journalsearch.php?q=98456&tip=sid&clean=0
Journal of Biochemistry,journal,Q2,128,https://www.scimagojr.com/journalsearch.php?q=17581&tip=sid&clean=0
Journal of the Acoustical Society of America,journal,Q1,213,https://www.scimagojr.com/journalsearch.php?q=12936&tip=sid&clean=0
Journal of Traditional and Complementary Medicine,journal,Q1,59,https://www.scimagojr.com/journalsearch.php?q=21100287117&tip=sid&clean=0
Research in Labor Economics,book series,Q1,28,https://www.scimagojr.com/journalsearch.php?q=4100151512&tip=sid&clean=0
Review of Industrial Organization,journal,Q2,64,https://www.scimagojr.com/journalsearch.php?q=29447&tip=sid&clean=0
Vocations and Learning,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=15700154701&tip=sid&clean=0
Acta Haematologica,journal,Q2,62,https://www.scimagojr.com/journalsearch.php?q=25419&tip=sid&clean=0
African Affairs,journal,Q1,82,https://www.scimagojr.com/journalsearch.php?q=15039&tip=sid&clean=0
Analytical and Bioanalytical Chemistry,journal,Q2,192,https://www.scimagojr.com/journalsearch.php?q=23913&tip=sid&clean=0
Biochemistry and Cell Biology,journal,Q2,101,https://www.scimagojr.com/journalsearch.php?q=16870&tip=sid&clean=0
European Journal of Forest Research,journal,Q1,76,https://www.scimagojr.com/journalsearch.php?q=50088&tip=sid&clean=0
European Journal of Ophthalmology,journal,Q2,63,https://www.scimagojr.com/journalsearch.php?q=13864&tip=sid&clean=0
Frontiers in Big Data,journal,Q2,24,https://www.scimagojr.com/journalsearch.php?q=21101052354&tip=sid&clean=0
International Journal of Heritage Studies,journal,Q1,61,https://www.scimagojr.com/journalsearch.php?q=5700154545&tip=sid&clean=0
Journal of Clinical and Translational Endocrinology,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=21100316069&tip=sid&clean=0
Journal of Environmental Quality,journal,Q2,190,https://www.scimagojr.com/journalsearch.php?q=23375&tip=sid&clean=0
Journal of Gay and Lesbian Mental Health,journal,Q2,40,https://www.scimagojr.com/journalsearch.php?q=19700167014&tip=sid&clean=0
Journal of Pregnancy,journal,Q2,42,https://www.scimagojr.com/journalsearch.php?q=21100215171&tip=sid&clean=0
Porcine Health Management,journal,Q1,29,https://www.scimagojr.com/journalsearch.php?q=21100871622&tip=sid&clean=0
Protoplasma,journal,Q1,89,https://www.scimagojr.com/journalsearch.php?q=19036&tip=sid&clean=0
Crop Protection,journal,Q1,121,https://www.scimagojr.com/journalsearch.php?q=12898&tip=sid&clean=0
Cyberpsychology,journal,Q1,35,https://www.scimagojr.com/journalsearch.php?q=19900192615&tip=sid&clean=0
Electronic Transactions on Numerical Analysis,journal,Q2,47,https://www.scimagojr.com/journalsearch.php?q=26415&tip=sid&clean=0
Forensic Science International: Synergy,journal,Q1,17,https://www.scimagojr.com/journalsearch.php?q=21100904891&tip=sid&clean=0
Frontiers in Bioscience - Landmark,journal,Q2,162,https://www.scimagojr.com/journalsearch.php?q=27974&tip=sid&clean=0
International Journal of Food Science and Technology,journal,Q1,117,https://www.scimagojr.com/journalsearch.php?q=20115&tip=sid&clean=0
Journal of Applied Accounting Research,journal,Q1,38,https://www.scimagojr.com/journalsearch.php?q=19900192334&tip=sid&clean=0
Journal of Bioethical Inquiry,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=4000148017&tip=sid&clean=0
Journal of Chemical Ecology,journal,Q2,131,https://www.scimagojr.com/journalsearch.php?q=23342&tip=sid&clean=0
Journal of Natural Medicines,journal,Q1,59,https://www.scimagojr.com/journalsearch.php?q=20010&tip=sid&clean=0
Journal of Teaching and Learning for Graduate Employability,journal,Q2,12,https://www.scimagojr.com/journalsearch.php?q=21100901479&tip=sid&clean=0
Korean Journal of Orthodontics,journal,Q1,33,https://www.scimagojr.com/journalsearch.php?q=19700168907&tip=sid&clean=0
Millennium: Journal of International Studies,journal,Q1,77,https://www.scimagojr.com/journalsearch.php?q=26867&tip=sid&clean=0
Nonlinear Analysis: Modelling and Control,journal,Q2,41,https://www.scimagojr.com/journalsearch.php?q=17700155806&tip=sid&clean=0
Production and Manufacturing Research,journal,Q2,31,https://www.scimagojr.com/journalsearch.php?q=21100456196&tip=sid&clean=0
Revista de Psicologia Clinica con Ninos y Adolescentes,journal,Q2,12,https://www.scimagojr.com/journalsearch.php?q=21100901905&tip=sid&clean=0
Asia-Pacific Journal of Atmospheric Sciences,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=11200153502&tip=sid&clean=0
English Teaching and Learning,journal,Q1,14,https://www.scimagojr.com/journalsearch.php?q=21100464750&tip=sid&clean=0
IEEE Photonics Technology Letters,journal,Q2,171,https://www.scimagojr.com/journalsearch.php?q=12116&tip=sid&clean=0
Journal of Mathematical Imaging and Vision,journal,Q2,81,https://www.scimagojr.com/journalsearch.php?q=28501&tip=sid&clean=0
Journal of Oral and Maxillofacial Surgery,journal,Q1,140,https://www.scimagojr.com/journalsearch.php?q=26152&tip=sid&clean=0
Journal of Orthopaedics,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=21100256976&tip=sid&clean=0
Journal of Social and Clinical Psychology,journal,Q2,111,https://www.scimagojr.com/journalsearch.php?q=30085&tip=sid&clean=0
Nordicom Review,journal,Q1,23,https://www.scimagojr.com/journalsearch.php?q=5700155017&tip=sid&clean=0
Sports Biomechanics,journal,Q2,51,https://www.scimagojr.com/journalsearch.php?q=21076&tip=sid&clean=0
Applied Environmental Biotechnology,journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=21100901906&tip=sid&clean=0
Chemistry and Physics of Lipids,journal,Q2,110,https://www.scimagojr.com/journalsearch.php?q=16945&tip=sid&clean=0
Health Information and Libraries Journal,journal,Q1,52,https://www.scimagojr.com/journalsearch.php?q=30004&tip=sid&clean=0
International Journal of Sport Policy and Politics,journal,Q1,40,https://www.scimagojr.com/journalsearch.php?q=19700201530&tip=sid&clean=0
Journal of Child Neurology,journal,Q2,120,https://www.scimagojr.com/journalsearch.php?q=16674&tip=sid&clean=0
Neurourology and Urodynamics,journal,Q2,106,https://www.scimagojr.com/journalsearch.php?q=20041&tip=sid&clean=0
Orthopedic Clinics of North America,journal,Q2,100,https://www.scimagojr.com/journalsearch.php?q=12469&tip=sid&clean=0
Therapeutic Advances in Urology,journal,Q2,41,https://www.scimagojr.com/journalsearch.php?q=19700175203&tip=sid&clean=0
Annals of Data Science,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=21101023806&tip=sid&clean=0
Australian Geographer,journal,Q1,53,https://www.scimagojr.com/journalsearch.php?q=27511&tip=sid&clean=0
Burns,journal,Q1,118,https://www.scimagojr.com/journalsearch.php?q=29574&tip=sid&clean=0
Canadian Journal on Aging,journal,Q1,52,https://www.scimagojr.com/journalsearch.php?q=28612&tip=sid&clean=0
Conservation Evidence,journal,Q1,14,https://www.scimagojr.com/journalsearch.php?q=19900192609&tip=sid&clean=0
Environmental Entomology,journal,Q1,100,https://www.scimagojr.com/journalsearch.php?q=20311&tip=sid&clean=0
Investigative and Clinical Urology,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=21100453520&tip=sid&clean=0
Journal of Multidisciplinary Healthcare,journal,Q1,52,https://www.scimagojr.com/journalsearch.php?q=19700175822&tip=sid&clean=0
Phytopathology Research,journal,Q1,13,https://www.scimagojr.com/journalsearch.php?q=21101050345&tip=sid&clean=0
Plastic and Reconstructive Surgery - Global Open,journal,Q2,49,https://www.scimagojr.com/journalsearch.php?q=21100835710&tip=sid&clean=0
Sex Education,journal,Q1,45,https://www.scimagojr.com/journalsearch.php?q=100147343&tip=sid&clean=0
Spatial Economic Analysis,journal,Q1,39,https://www.scimagojr.com/journalsearch.php?q=7100153133&tip=sid&clean=0
"Tellus, Series A: Dynamic Meteorology and Oceanography",journal,Q2,87,https://www.scimagojr.com/journalsearch.php?q=70792&tip=sid&clean=0
Tuberculosis and Respiratory Diseases,journal,Q2,35,https://www.scimagojr.com/journalsearch.php?q=98416&tip=sid&clean=0
Vaccine: X,journal,Q1,18,https://www.scimagojr.com/journalsearch.php?q=21100897791&tip=sid&clean=0
American Journal of the Medical Sciences,journal,Q2,101,https://www.scimagojr.com/journalsearch.php?q=27086&tip=sid&clean=0
Contact Dermatitis,journal,Q2,109,https://www.scimagojr.com/journalsearch.php?q=24298&tip=sid&clean=0
Environmental and Molecular Mutagenesis,journal,Q2,99,https://www.scimagojr.com/journalsearch.php?q=22099&tip=sid&clean=0
Journal of Health and Social Sciences,journal,Q2,14,https://www.scimagojr.com/journalsearch.php?q=21101052704&tip=sid&clean=0
Journal of Manufacturing and Materials Processing,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=21100977478&tip=sid&clean=0
Journal Physics D: Applied Physics,journal,Q1,231,https://www.scimagojr.com/journalsearch.php?q=28570&tip=sid&clean=0
Parasite Epidemiology and Control,journal,Q2,24,https://www.scimagojr.com/journalsearch.php?q=21100463862&tip=sid&clean=0
Pathology International,journal,Q2,81,https://www.scimagojr.com/journalsearch.php?q=16986&tip=sid&clean=0
Swarm Intelligence,journal,Q2,45,https://www.scimagojr.com/journalsearch.php?q=11700154734&tip=sid&clean=0
Tourism Planning and Development,journal,Q1,46,https://www.scimagojr.com/journalsearch.php?q=19900191973&tip=sid&clean=0
ACM Journal on Emerging Technologies in Computing Systems,journal,Q2,47,https://www.scimagojr.com/journalsearch.php?q=4700152798&tip=sid&clean=0
Ahkam: Jurnal Ilmu Syariah,journal,Q1,8,https://www.scimagojr.com/journalsearch.php?q=21101055891&tip=sid&clean=0
Annals of Gastroenterology,journal,Q2,50,https://www.scimagojr.com/journalsearch.php?q=7500153130&tip=sid&clean=0
Cardiovascular Pathology,journal,Q2,79,https://www.scimagojr.com/journalsearch.php?q=22558&tip=sid&clean=0
Clinical Drug Investigation,journal,Q2,67,https://www.scimagojr.com/journalsearch.php?q=20603&tip=sid&clean=0
Cognitive Neuropsychiatry,journal,Q2,68,https://www.scimagojr.com/journalsearch.php?q=12870&tip=sid&clean=0
Current Behavioral Neuroscience Reports,journal,Q2,30,https://www.scimagojr.com/journalsearch.php?q=21101021076&tip=sid&clean=0
Decision Analytics Journal,journal,Q2,14,https://www.scimagojr.com/journalsearch.php?q=21101098756&tip=sid&clean=0
Educational Studies,journal,Q2,54,https://www.scimagojr.com/journalsearch.php?q=14310&tip=sid&clean=0
Immunopharmacology and Immunotoxicology,journal,Q2,61,https://www.scimagojr.com/journalsearch.php?q=22372&tip=sid&clean=0
Infectious Disease Reports,journal,Q2,26,https://www.scimagojr.com/journalsearch.php?q=19700194023&tip=sid&clean=0
International Journal of the Commons,journal,Q1,36,https://www.scimagojr.com/journalsearch.php?q=20000195019&tip=sid&clean=0
Journal of Agricultural Education and Extension,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=19700188305&tip=sid&clean=0
Journal of Developmental and Behavioral Pediatrics,journal,Q2,119,https://www.scimagojr.com/journalsearch.php?q=15104&tip=sid&clean=0
Journal of Sport and Exercise Psychology,journal,Q2,120,https://www.scimagojr.com/journalsearch.php?q=30091&tip=sid&clean=0
"Navigation, Journal of the Institute of Navigation",journal,Q2,56,https://www.scimagojr.com/journalsearch.php?q=12174&tip=sid&clean=0
Pediatric Radiology,journal,Q2,99,https://www.scimagojr.com/journalsearch.php?q=15753&tip=sid&clean=0
Psychology of Religion and Spirituality,journal,Q1,49,https://www.scimagojr.com/journalsearch.php?q=17700156745&tip=sid&clean=0
Radiography,journal,Q1,38,https://www.scimagojr.com/journalsearch.php?q=17845&tip=sid&clean=0
Aquatic Sciences,journal,Q1,87,https://www.scimagojr.com/journalsearch.php?q=29034&tip=sid&clean=0
Behavioral Science and Policy,journal,Q1,10,https://www.scimagojr.com/journalsearch.php?q=21100902636&tip=sid&clean=0
Environmental Engineering Research,journal,Q2,40,https://www.scimagojr.com/journalsearch.php?q=19900192153&tip=sid&clean=0
Intelligenza Artificiale,journal,Q2,7,https://www.scimagojr.com/journalsearch.php?q=21100900308&tip=sid&clean=0
International Journal of Sport Communication,journal,Q1,16,https://www.scimagojr.com/journalsearch.php?q=21100873594&tip=sid&clean=0
Journal of Cotton Research,journal,Q1,16,https://www.scimagojr.com/journalsearch.php?q=21101041534&tip=sid&clean=0
Journal of Gene Medicine,journal,Q2,100,https://www.scimagojr.com/journalsearch.php?q=18922&tip=sid&clean=0
Journal of Plant Nutrition and Soil Science,journal,Q1,102,https://www.scimagojr.com/journalsearch.php?q=15656&tip=sid&clean=0
Pain Practice,journal,Q2,73,https://www.scimagojr.com/journalsearch.php?q=145429&tip=sid&clean=0
Pharmacology,journal,Q2,67,https://www.scimagojr.com/journalsearch.php?q=21194&tip=sid&clean=0
Scholarly Assessment Reports,journal,Q1,8,https://www.scimagojr.com/journalsearch.php?q=21101051215&tip=sid&clean=0
Sociological Spectrum,journal,Q1,45,https://www.scimagojr.com/journalsearch.php?q=18109&tip=sid&clean=0
Acupuncture and Herbal Medicine,journal,Q1,10,https://www.scimagojr.com/journalsearch.php?q=21101161419&tip=sid&clean=0
Human Factors and Ergonomics In Manufacturing,journal,Q2,49,https://www.scimagojr.com/journalsearch.php?q=19111&tip=sid&clean=0
International Journal of Computerized Dentistry,journal,Q1,38,https://www.scimagojr.com/journalsearch.php?q=25612&tip=sid&clean=0
International Journal of Veterinary Science and Medicine,journal,Q1,29,https://www.scimagojr.com/journalsearch.php?q=21100976837&tip=sid&clean=0
Journal of Avian Biology,journal,Q1,86,https://www.scimagojr.com/journalsearch.php?q=22035&tip=sid&clean=0
Journal of Pediatric Nursing,journal,Q1,74,https://www.scimagojr.com/journalsearch.php?q=28240&tip=sid&clean=0
Journal of Stroke and Cerebrovascular Diseases,journal,Q1,79,https://www.scimagojr.com/journalsearch.php?q=23884&tip=sid&clean=0
Journal on Multimodal User Interfaces,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=17700156101&tip=sid&clean=0
Steel and Composite Structures,journal,Q1,79,https://www.scimagojr.com/journalsearch.php?q=28423&tip=sid&clean=0
Symbolic Interaction,journal,Q1,58,https://www.scimagojr.com/journalsearch.php?q=26619&tip=sid&clean=0
American Journal of Physical Medicine and Rehabilitation,journal,Q1,117,https://www.scimagojr.com/journalsearch.php?q=16263&tip=sid&clean=0
Asian Journal of Control,journal,Q2,62,https://www.scimagojr.com/journalsearch.php?q=12221&tip=sid&clean=0
Asian Journal of Technology Innovation,journal,Q2,24,https://www.scimagojr.com/journalsearch.php?q=19900192158&tip=sid&clean=0
Clinical Medicine Insights: Cardiology,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=19700173224&tip=sid&clean=0
Europe's Journal of Psychology,journal,Q2,36,https://www.scimagojr.com/journalsearch.php?q=19900192612&tip=sid&clean=0
Frontiers in Nanotechnology,journal,Q2,21,https://www.scimagojr.com/journalsearch.php?q=21101077282&tip=sid&clean=0
Journal of Cardiovascular Aging,journal,Q2,7,https://www.scimagojr.com/journalsearch.php?q=21101176723&tip=sid&clean=0
Journal of Plant Research,journal,Q1,80,https://www.scimagojr.com/journalsearch.php?q=19261&tip=sid&clean=0
Kyoto Journal of Mathematics,journal,Q1,31,https://www.scimagojr.com/journalsearch.php?q=24453&tip=sid&clean=0
Modeling Earth Systems and Environment,journal,Q1,55,https://www.scimagojr.com/journalsearch.php?q=21100981415&tip=sid&clean=0
Pathology Research and Practice,journal,Q2,70,https://www.scimagojr.com/journalsearch.php?q=16987&tip=sid&clean=0
Procesamiento del Lenguaje Natural,journal,Q1,22,https://www.scimagojr.com/journalsearch.php?q=21100195304&tip=sid&clean=0
Time and Society,journal,Q1,54,https://www.scimagojr.com/journalsearch.php?q=18718&tip=sid&clean=0
Audiology and Neurotology,journal,Q1,90,https://www.scimagojr.com/journalsearch.php?q=13625&tip=sid&clean=0
Bulletin of Atmospheric Science and Technology,journal,Q1,8,https://www.scimagojr.com/journalsearch.php?q=21101153206&tip=sid&clean=0
Clinics and Research in Hepatology and Gastroenterology,journal,Q2,66,https://www.scimagojr.com/journalsearch.php?q=21100213800&tip=sid&clean=0
Data-Centric Engineering,journal,Q1,11,https://www.scimagojr.com/journalsearch.php?q=21101065510&tip=sid&clean=0
Frontiers in Neurorobotics,journal,Q2,50,https://www.scimagojr.com/journalsearch.php?q=21100199837&tip=sid&clean=0
Hydrology,journal,Q2,34,https://www.scimagojr.com/journalsearch.php?q=21100860118&tip=sid&clean=0
IEEE Pervasive Computing,journal,Q2,108,https://www.scimagojr.com/journalsearch.php?q=25022&tip=sid&clean=0
International Journal of Fracture,journal,Q1,112,https://www.scimagojr.com/journalsearch.php?q=21107&tip=sid&clean=0
Journal of Legal Affairs and Dispute Resolution in Engineering and Construction,journal,Q1,22,https://www.scimagojr.com/journalsearch.php?q=21100869222&tip=sid&clean=0
Journal of Physics Condensed Matter,journal,Q2,255,https://www.scimagojr.com/journalsearch.php?q=28567&tip=sid&clean=0
Journal of Social Work Education,journal,Q1,65,https://www.scimagojr.com/journalsearch.php?q=12308&tip=sid&clean=0
Outlook on Agriculture,journal,Q1,37,https://www.scimagojr.com/journalsearch.php?q=33310&tip=sid&clean=0
Quality Technology and Quantitative Management,journal,Q2,27,https://www.scimagojr.com/journalsearch.php?q=21100198497&tip=sid&clean=0
Africa Spectrum,journal,Q1,29,https://www.scimagojr.com/journalsearch.php?q=15060&tip=sid&clean=0
American Statistician,journal,Q1,97,https://www.scimagojr.com/journalsearch.php?q=13631&tip=sid&clean=0
Asian Journal of Communication,journal,Q1,40,https://www.scimagojr.com/journalsearch.php?q=17730&tip=sid&clean=0
Australian Prescriber,journal,Q2,40,https://www.scimagojr.com/journalsearch.php?q=20024&tip=sid&clean=0
Cancer Management and Research,journal,Q3,67,https://www.scimagojr.com/journalsearch.php?q=19700175043&tip=sid&clean=0
Current Issues in Molecular Biology,journal,Q2,61,https://www.scimagojr.com/journalsearch.php?q=17398&tip=sid&clean=0
Current Problems in Pediatric and Adolescent Health Care,journal,Q2,55,https://www.scimagojr.com/journalsearch.php?q=14985&tip=sid&clean=0
Geocarto International,journal,Q1,60,https://www.scimagojr.com/journalsearch.php?q=28216&tip=sid&clean=0
Geographical Research,journal,Q1,55,https://www.scimagojr.com/journalsearch.php?q=130140&tip=sid&clean=0
Journal of Political Ecology,journal,Q1,35,https://www.scimagojr.com/journalsearch.php?q=19900193691&tip=sid&clean=0
Organizational Dynamics,journal,Q1,74,https://www.scimagojr.com/journalsearch.php?q=22328&tip=sid&clean=0
Substance Use and Misuse,journal,Q2,90,https://www.scimagojr.com/journalsearch.php?q=21945&tip=sid&clean=0
Biotechnology and Genetic Engineering Reviews,journal,Q2,48,https://www.scimagojr.com/journalsearch.php?q=15490&tip=sid&clean=0
Current Gene Therapy,journal,Q2,80,https://www.scimagojr.com/journalsearch.php?q=22072&tip=sid&clean=0
Drug Metabolism and Pharmacokinetics,journal,Q2,75,https://www.scimagojr.com/journalsearch.php?q=144956&tip=sid&clean=0
Earth and Planetary Physics,journal,Q2,22,https://www.scimagojr.com/journalsearch.php?q=21101047722&tip=sid&clean=0
eFood,journal,Q1,17,https://www.scimagojr.com/journalsearch.php?q=21101114151&tip=sid&clean=0
European Constitutional Law Review,journal,Q1,36,https://www.scimagojr.com/journalsearch.php?q=5700165148&tip=sid&clean=0
European Food Research and Technology,journal,Q1,122,https://www.scimagojr.com/journalsearch.php?q=23068&tip=sid&clean=0
Gels,journal,Q1,47,https://www.scimagojr.com/journalsearch.php?q=21100914882&tip=sid&clean=0
Intelligent Medicine,journal,Q2,10,https://www.scimagojr.com/journalsearch.php?q=21101096774&tip=sid&clean=0
Journal of Behavior Therapy and Experimental Psychiatry,journal,Q1,90,https://www.scimagojr.com/journalsearch.php?q=16249&tip=sid&clean=0
Journal of Information and Telecommunication,journal,Q2,16,https://www.scimagojr.com/journalsearch.php?q=21101043571&tip=sid&clean=0
Journal of Physics: Complexity,journal,Q2,15,https://www.scimagojr.com/journalsearch.php?q=21101058018&tip=sid&clean=0
Kidney and Blood Pressure Research,journal,Q2,61,https://www.scimagojr.com/journalsearch.php?q=19991&tip=sid&clean=0
Marine Micropaleontology,journal,Q1,103,https://www.scimagojr.com/journalsearch.php?q=13958&tip=sid&clean=0
New Directions for Evaluation,journal,Q2,48,https://www.scimagojr.com/journalsearch.php?q=5600155030&tip=sid&clean=0
Oceanologia,journal,Q1,51,https://www.scimagojr.com/journalsearch.php?q=28374&tip=sid&clean=0
Pacific Journal of Mathematics,journal,Q1,53,https://www.scimagojr.com/journalsearch.php?q=25761&tip=sid&clean=0
Psychoanalytic Dialogues,journal,Q2,57,https://www.scimagojr.com/journalsearch.php?q=13418&tip=sid&clean=0
Science and Technology Studies,journal,Q1,22,https://www.scimagojr.com/journalsearch.php?q=21100247071&tip=sid&clean=0
Solid State Ionics,journal,Q2,214,https://www.scimagojr.com/journalsearch.php?q=29887&tip=sid&clean=0
Archives of Academic Emergency Medicine,journal,Q1,24,https://www.scimagojr.com/journalsearch.php?q=21101017909&tip=sid&clean=0
Behaviour Change,journal,Q2,46,https://www.scimagojr.com/journalsearch.php?q=12126&tip=sid&clean=0
BMC Complementary Medicine and Therapies,journal,Q1,113,https://www.scimagojr.com/journalsearch.php?q=21100979268&tip=sid&clean=0
Fractals,journal,Q1,64,https://www.scimagojr.com/journalsearch.php?q=28472&tip=sid&clean=0
Hydrology Research,journal,Q2,57,https://www.scimagojr.com/journalsearch.php?q=29601&tip=sid&clean=0
JMIR Cardio,journal,Q2,18,https://www.scimagojr.com/journalsearch.php?q=21101028595&tip=sid&clean=0
Journal of Clinical Neurology (Korea,journal,Q2,56,https://www.scimagojr.com/journalsearch.php?q=21100213700&tip=sid&clean=0
Journal of Environmental Health Science and Engineering,journal,Q2,63,https://www.scimagojr.com/journalsearch.php?q=21100242835&tip=sid&clean=0
Journal of Forestry,journal,Q1,83,https://www.scimagojr.com/journalsearch.php?q=22875&tip=sid&clean=0
Journal of Mining and Strata Control Engineering,journal,Q1,26,https://www.scimagojr.com/journalsearch.php?q=21101070303&tip=sid&clean=0
Political Theory,journal,Q1,68,https://www.scimagojr.com/journalsearch.php?q=23421&tip=sid&clean=0
Psychiatric Rehabilitation Journal,journal,Q1,76,https://www.scimagojr.com/journalsearch.php?q=18701&tip=sid&clean=0
Theory and Research in Education,journal,Q2,37,https://www.scimagojr.com/journalsearch.php?q=5700164234&tip=sid&clean=0
Water Environment Research,journal,Q2,85,https://www.scimagojr.com/journalsearch.php?q=24563&tip=sid&clean=0
World Journal of Hepatology,journal,Q3,77,https://www.scimagojr.com/journalsearch.php?q=21100243806&tip=sid&clean=0
Behavioral Interventions,journal,Q1,40,https://www.scimagojr.com/journalsearch.php?q=14282&tip=sid&clean=0
Cochlear Implants International,journal,Q1,40,https://www.scimagojr.com/journalsearch.php?q=21044&tip=sid&clean=0
Drug Development Research,journal,Q2,67,https://www.scimagojr.com/journalsearch.php?q=21192&tip=sid&clean=0
European Clinical Respiratory Journal,journal,Q2,16,https://www.scimagojr.com/journalsearch.php?q=21100976737&tip=sid&clean=0
Focus on Autism and Other Developmental Disabilities,journal,Q2,78,https://www.scimagojr.com/journalsearch.php?q=5700155920&tip=sid&clean=0
Injury Epidemiology,journal,Q2,32,https://www.scimagojr.com/journalsearch.php?q=21100858473&tip=sid&clean=0
Journal of Advances in Management Research,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=21100892687&tip=sid&clean=0
Journal of Futures Markets,journal,Q2,65,https://www.scimagojr.com/journalsearch.php?q=16509&tip=sid&clean=0
Journal of Occupational Science,journal,Q1,52,https://www.scimagojr.com/journalsearch.php?q=144948&tip=sid&clean=0
Measuring Business Excellence,journal,Q2,52,https://www.scimagojr.com/journalsearch.php?q=144672&tip=sid&clean=0
Neurologic Clinics,journal,Q2,98,https://www.scimagojr.com/journalsearch.php?q=17526&tip=sid&clean=0
Surgical Pathology Clinics,journal,Q2,33,https://www.scimagojr.com/journalsearch.php?q=17500155018&tip=sid&clean=0
Sustainability,journal,Q1,169,https://www.scimagojr.com/journalsearch.php?q=21100240100&tip=sid&clean=0
Topics in Spinal Cord Injury Rehabilitation,journal,Q2,43,https://www.scimagojr.com/journalsearch.php?q=17478&tip=sid&clean=0
Across Languages and Cultures,journal,Q1,23,https://www.scimagojr.com/journalsearch.php?q=5800207808&tip=sid&clean=0
